"nombre","ciudad_provincia","accion_erasmus","email","fuente_nombre","fuente_email","notas"
"Federación Erasmus Student Network España (ESN Spain)","Comunidad Valenciana / Madrid","KA152, KA154, KA210(denegada)","spain@esn.org","https://youth.europa.eu/volunteering/organisation/79752_es","https://accounts.esn.org/country/es","Email no renderizable por ofuscación Cloudflare en esn-spain.org; confirmado en fuente secundaria oficial (accounts.esn.org)"
"Confederación de Centros Juveniles Don Bosco de España","Estatal (Madrid)","KA153","donbosco@confedonbosco.org","https://confedonbosco.org/quienes-somos/","https://confedonbosco.org/en/contact/",""
"Consejo Local de la Juventud de Cáceres","Cáceres, Extremadura","KA152","no encontrado","https://youth.europa.eu/volunteering/organisation/51543_es","N/A","Sin web propia localizada"
"Asociación Scouting","Estatal","KA151, KA153","no encontrado","https://www.injuve.es/sites/default/files/adjuntos/2021/12/resolucion_definitiva_e2021-ronda2_fda.pdf","N/A","Sin web/email localizable tras búsqueda exhaustiva"
"Federació Catalana de l'Esplai (Fedesplai)","El Prat de Llobregat, Barcelona","KA151","federacio@fundesplai.org","https://esplai.fundesplai.org/","https://esplai.fundesplai.org/sumat_al_projecte/",""
"European Youth Parliament España","Torrent, Valencia / Estatal","KA154, KA220","info@eype.es","https://www.eype.es/","https://www.eype.es/contact-us/","Pie de página también muestra info@eype.com; se prioriza dominio oficial .es"
"Consejo de la Juventud de la Comunidad Valenciana","Valencia","KA154","info@conselljoventut.org","https://conselljoventut.org/es/","https://conselljoventut.org/es/contacta-2/",""
"Fundación Aspaym Castilla y León","Valladolid","KA151, KA220","info@aspaymcyl.org","https://www.aspaymcyl.org/","https://www.aspaymcyl.org/contacto/",""
"AMYCOS - Organización No Gubernamental para la Cooperación Solidaria","Burgos","KA152, KA155","info@amycos.org","https://youth.europa.eu/volunteering/organisation/52457_en","https://amycos.org/contacto/",""
"CANAE - Confederación Estatal de Asociaciones de Estudiantes","Madrid","KA154","info@canae.org","https://canae.org/","https://www.plataformadeinfancia.org/book/canae/","Email confirmado vía Plataforma de Infancia por ofuscación Cloudflare en canae.org"
